# I matrix for ω = 3.00 eV
0.557214	0.702503	0.906007	0.338210	-0.742012	0.640399	0.386468	0.764422	0.587179	1.751169	-1.144975	0.043708	2.814252	0.330584	-2.424627	0.528082	4.403789	0.367129	-6.289787	9.538124	-3.968443	-5.424077	20.993889	486.376891	506.933278	151.210458	-19.531546	-13.871734	7.771087	6.331763	-0.412248	-3.002639	-1.539318	0.727387	1.859131	1.840638	1.297827	0.705159	0.269816	0.032342
0.702503	0.814046	0.878706	0.135703	-0.742026	0.834963	0.186513	1.025812	0.353209	1.847364	-1.022006	-0.248538	2.823520	0.690488	-2.348292	-0.034376	4.374755	1.047193	-6.606329	8.929592	-2.280056	-8.337104	28.614336	494.374902	500.777296	145.094184	-20.407186	-13.351543	7.956779	6.179514	-0.495387	-2.975618	-1.520648	0.735593	1.874620	1.854286	1.299825	0.696598	0.256649	0.019312
0.906007	0.878706	0.524177	-0.444423	-0.434845	1.179955	-0.282877	1.690055	-0.145779	1.781067	-0.361208	-0.969366	2.426218	1.690041	-1.654818	-1.600412	3.785461	3.045796	-6.980304	6.486123	3.137677	-17.249880	53.441530	516.480047	481.322233	127.445310	-22.663397	-11.785712	8.448163	5.744101	-0.766145	-2.880472	-1.442286	0.749038	1.900565	1.890197	1.315396	0.684605	0.227956	-0.013659
0.338210	0.135703	-0.444423	-0.688664	0.640399	0.776380	-0.140315	1.853183	0.059035	0.613248	1.033171	-1.089501	0.754969	2.432209	0.624580	-3.122908	1.456373	5.567682	-5.597384	0.828503	12.444711	-31.721286	100.609963	546.602875	446.184530	100.447570	-25.352657	-9.127163	9.004467	5.115355	-1.263467	-2.722905	-1.230800	0.769973	1.879292	1.909984	1.350726	0.701647	0.220030	-0.037720
-0.742012	-0.742026	-0.434845	0.640399	1.071358	-0.360733	1.500697	0.353209	1.604038	-1.140069	1.318033	1.050832	-1.248226	0.745140	3.679440	-1.872915	-2.534942	5.771363	-0.207185	-8.097263	22.820838	-47.679808	175.679107	573.871434	393.314439	67.716386	-27.261025	-5.318294	9.222907	4.389791	-1.895958	-2.624182	-0.832532	0.897732	1.787790	1.822795	1.342954	0.742209	0.267548	-0.002473
0.640399	0.834963	1.179955	0.776380	-0.360733	1.025812	1.325210	0.247565	0.918228	0.216537	-0.969366	2.760015	0.330584	-2.336970	2.624377	2.888712	-3.713114	0.344732	8.029094	-14.992940	25.356879	-52.630845	279.562188	583.672755	323.186034	33.657971	-26.890396	-0.782706	8.977263	3.343308	-2.299328	-2.659350	-0.442070	1.237191	1.787187	1.632594	1.178252	0.683396	0.296000	0.070469
0.386468	0.186513	-0.282877	-0.140315	1.500697	1.325210	-0.088078	1.781067	-1.144975	1.128493	0.667768	-0.654286	2.254990	0.624580	-2.732440	3.434672	2.398360	-6.606329	10.034965	-8.496858	8.039517	-22.234242	402.222707	560.976793	239.699191	3.253069	-22.807278	3.229879	8.637676	1.687250	-2.448995	-2.397396	-0.288260	1.490495	1.983071	1.604325	0.990839	0.479939	0.161225	0.018374
0.764422	1.025812	1.690055	1.853183	0.353209	0.247565	1.781067	-1.205911	1.552640	-1.089501	2.167815	0.690488	-2.178280	3.693764	0.198211	-3.347527	5.771363	-2.036661	-3.054449	14.206987	-28.942235	71.509254	516.480047	494.450534	151.210458	-17.576221	-15.961068	6.498201	7.537958	0.292403	-2.937858	-1.759951	0.153025	1.458923	1.920206	1.649972	1.036126	0.450365	0.069282	-0.094253
0.587179	0.353209	-0.145779	0.059035	1.604038	0.918228	-1.144975	1.552640	-1.238425	2.823520	-1.102179	0.745140	2.161956	-2.968391	3.785461	0.367129	-4.212552	10.253445	-15.145171	25.356879	-53.531737	233.014142	580.212476	385.565951	72.042128	-26.687534	-8.043064	9.004467	5.351550	-0.862555	-2.913731	-1.520648	0.716439	1.794916	1.780771	1.350004	0.864810	0.450996	0.162359	0.014732
1.751169	1.847364	1.781067	0.613248	-1.140069	0.216537	1.128493	-1.089501	2.823520	-1.313175	2.062602	-0.862686	0.528082	2.888712	-4.016704	5.436193	-2.883466	0.828503	5.012580	-8.337104	0.241403	422.596912	560.976793	254.473246	12.905855	-25.430794	0.495032	8.943871	3.478078	-2.220159	-2.636602	-0.722577	0.897732	1.813045	1.888217	1.355594	0.695652	0.218847	-0.013659	-0.061441
